     Temperature [K]                 Eta
               29500         0.000205212
               29550         0.000205386
               29600         0.000205559
               29650         0.000205733
               29700         0.000205906
               29750          0.00020608
               29800         0.000206253
               29850         0.000206426
               29900         0.000206599
               29950         0.000206771
               30000         0.000206944
               30050         0.000207116
               30100         0.000207288
               30150          0.00020746
               30200         0.000207632
               30250         0.000207804
               30300         0.000207976
               30350         0.000208147
               30400         0.000208319
               30450          0.00020849
               30500         0.000208661
               30550         0.000208832
               30600         0.000209003
               30650         0.000209174
               30700         0.000209344
               30750         0.000209515
               30800         0.000209685
               30850         0.000209855
               30900         0.000210025
               30950         0.000210195
               31000         0.000210364
               31050         0.000210534
               31100         0.000210704
               31150         0.000210873
               31200         0.000211042
               31250         0.000211211
               31300          0.00021138
               31350         0.000211549
               31400         0.000211717
               31450         0.000211886
               31500         0.000212054
               31550         0.000212222
               31600         0.000212391
               31650         0.000212558
               31700         0.000212726
               31750         0.000212894
               31800         0.000213062
               31850         0.000213229
               31900         0.000213396
               31950         0.000213563
               32000         0.000213731
               32050         0.000213897
               32100         0.000214064
               32150         0.000214231
               32200         0.000214397
               32250         0.000214564
               32300          0.00021473
               32350         0.000214896
               32400         0.000215062
               32450         0.000215228
               32500         0.000215394
               32550         0.000215559
               32600         0.000215725
               32650          0.00021589
               32700         0.000216056
               32750         0.000216221
               32800         0.000216386
               32850         0.000216551
               32900         0.000216715
               32950          0.00021688
               33000         0.000217044
               33050         0.000217209
               33100         0.000217373
               33150         0.000217537
               33200         0.000217701
               33250         0.000217865
               33300         0.000218029
               33350         0.000218192
               33400         0.000218356
               33450         0.000218519
               33500         0.000218682
               33550         0.000218846
               33600         0.000219009
               33650         0.000219172
               33700         0.000219334
               33750         0.000219497
               33800         0.000219659
               33850         0.000219822
               33900         0.000219984
               33950         0.000220146
               34000         0.000220308
               34050          0.00022047
               34100         0.000220632
               34150         0.000220794
               34200         0.000220955
               34250         0.000221117
               34300         0.000221278
               34350         0.000221439
               34400         0.000221601
               34450         0.000221762
               34500         0.000221922
               34550         0.000222083
               34600         0.000222244
               34650         0.000222404
               34700         0.000222565
               34750         0.000222725
               34800         0.000222885
               34850         0.000223045
               34900         0.000223205
               34950         0.000223365
               35000         0.000223525
               35050         0.000223684
               35100         0.000223844
               35150         0.000224003
               35200         0.000224162
               35250         0.000224322
               35300         0.000224481
               35350          0.00022464
               35400         0.000224798
               35450         0.000224957
               35500         0.000225116
               35550         0.000225274
               35600         0.000225433
               35650         0.000225591
               35700         0.000225749
               35750         0.000225907
               35800         0.000226065
               35850         0.000226223
               35900          0.00022638
               35950         0.000226538
               36000         0.000226695
               36050         0.000226853
               36100          0.00022701
               36150         0.000227167
               36200         0.000227324
               36250         0.000227481
               36300         0.000227638
               36350         0.000227795
               36400         0.000227951
               36450         0.000228108
               36500         0.000228264
               36550         0.000228421
               36600         0.000228577
               36650         0.000228733
               36700         0.000228889
               36750         0.000229045
               36800           0.0002292
               36850         0.000229356
               36900         0.000229512
               36950         0.000229667
               37000         0.000229822
               37050         0.000229978
               37100         0.000230133
               37150         0.000230288
               37200         0.000230443
               37250         0.000230598
               37300         0.000230752
               37350         0.000230907
               37400         0.000231061
               37450         0.000231216
               37500          0.00023137
               37550         0.000231524
               37600         0.000231678
               37650         0.000231832
               37700         0.000231986
               37750          0.00023214
               37800         0.000232294
               37850         0.000232447
               37900         0.000232601
               37950         0.000232754
               38000         0.000232907
               38050         0.000233061
               38100         0.000233214
               38150         0.000233367
               38200          0.00023352
               38250         0.000233672
               38300         0.000233825
               38350         0.000233978
               38400          0.00023413
               38450         0.000234282
               38500         0.000234435
               38550         0.000234587
               38600         0.000234739
               38650         0.000234891
               38700         0.000235043
               38750         0.000235195
               38800         0.000235346
               38850         0.000235498
               38900         0.000235649
               38950         0.000235801
               39000         0.000235952
               39050         0.000236103
               39100         0.000236254
               39150         0.000236405
               39200         0.000236556
               39250         0.000236707
               39300         0.000236858
               39350         0.000237009
               39400         0.000237159
               39450         0.000237309
               39500          0.00023746
               39550          0.00023761
               39600          0.00023776
               39650          0.00023791
               39700          0.00023806
               39750          0.00023821
               39800          0.00023836
               39850          0.00023851
               39900         0.000238659
               39950         0.000238809
               40000         0.000238958
